Country,DistribSI,T.Start.abs,T.End.abs,Mean_R,Quantile_2.5,Quantile_97.5
Ecuador,Gamma,06/02/2016,05/03/2016,0.977111269118994,0.750402758690027,1.23569135917688
Ecuador,Gamma,13/02/2016,12/03/2016,0.982300513053509,0.754609438689115,1.24220148934542
Ecuador,Gamma,20/02/2016,19/03/2016,0.859680325002481,0.646437463501427,1.1026598705245
Ecuador,Gamma,27/02/2016,26/03/2016,0.911448136110365,0.689471535047266,1.16621323845866
Ecuador,Gamma,05/03/2016,02/04/2016,1.9313815679211,1.5869731391652,2.30705717001584
Ecuador,Gamma,12/03/2016,09/04/2016,1.55260452721081,1.18193401681067,1.93457868130506
Ecuador,Gamma,19/03/2016,16/04/2016,1.37882107974055,1.05742782062517,1.80369294667177
Ecuador,Gamma,26/03/2016,23/04/2016,1.22518625076209,0.992812914600722,1.49455835188563
Ecuador,Gamma,02/04/2016,30/04/2016,1.42322324980264,1.19128011648053,1.67554947643967
Ecuador,Gamma,09/04/2016,07/05/2016,0.718480138584904,0.561203348288114,0.895343181271756
Ecuador,Gamma,16/04/2016,14/05/2016,1.02098633325945,0.839811503623006,1.22178431506376
El Salvador,Gamma,21/11/2015,19/12/2015,3.49349563209762,2.14094661820141,6.15126082919741
El Salvador,Gamma,28/11/2015,26/12/2015,2.53516564474065,1.83366222033131,3.83532729060476
El Salvador,Gamma,05/12/2015,02/01/2016,1.89698535521029,1.4998706882335,2.51546265647856
El Salvador,Gamma,12/12/2015,09/01/2016,1.4846801185683,1.25538953072169,1.8270240744346
El Salvador,Gamma,19/12/2015,16/01/2016,1.25318754748573,1.12939757778451,1.43698558084326
El Salvador,Gamma,26/12/2015,23/01/2016,1.14855526058858,1.07888764617755,1.24459558045455
El Salvador,Gamma,02/01/2016,30/01/2016,1.00713080584461,0.963465410299663,1.0596348709579
El Salvador,Gamma,09/01/2016,06/02/2016,0.935258406715757,0.903245597590196,0.969948533917538
El Salvador,Gamma,16/01/2016,13/02/2016,0.817237844485288,0.786202043341018,0.851422352165437
El Salvador,Gamma,23/01/2016,20/02/2016,0.686011652877216,0.650211880684659,0.729449978763142
El Salvador,Gamma,30/01/2016,27/02/2016,0.584694936063382,0.536852051217431,0.646137510504237
El Salvador,Gamma,06/02/2016,05/03/2016,0.490771957047768,0.430693234253656,0.56248566835516
El Salvador,Gamma,13/02/2016,12/03/2016,0.420426355911591,0.353954180108938,0.499054377097567
El Salvador,Gamma,20/02/2016,19/03/2016,0.367680239072616,0.297754938046089,0.4522749827687
El Salvador,Gamma,27/02/2016,26/03/2016,0.351513307180528,0.273811556301926,0.445727559766584
El Salvador,Gamma,05/03/2016,02/04/2016,0.379316026847714,0.287803563882586,0.489247970706753
El Salvador,Gamma,12/03/2016,09/04/2016,0.417462982567248,0.31522289391719,0.536474328069345
El Salvador,Gamma,19/03/2016,16/04/2016,0.462813564593611,0.355006325934427,0.583967686256441
El Salvador,Gamma,26/03/2016,23/04/2016,0.537099302222301,0.421262235098504,0.665996710645605
El Salvador,Gamma,02/04/2016,30/04/2016,0.660683390491727,0.530723861635482,0.80228526433615
El Salvador,Gamma,09/04/2016,07/05/2016,0.768041189301011,0.635840660678446,0.907216443041073
El Salvador,Gamma,16/04/2016,14/05/2016,0.786389636784767,0.668829872722556,0.910095106847827
French Guiana,Gamma,09/01/2016,06/02/2016,3.44081304145937,2.18206937087225,5.67910794314774
French Guiana,Gamma,16/01/2016,13/02/2016,2.43416702395643,1.73648704906498,3.50477553778025
French Guiana,Gamma,23/01/2016,20/02/2016,1.79787432447466,1.41097541763335,2.3600308956537
French Guiana,Gamma,30/01/2016,27/02/2016,1.52636988007433,1.29730400752079,1.8438082644431
French Guiana,Gamma,06/02/2016,05/03/2016,1.54798754856797,1.37823910428989,1.76283019925225
French Guiana,Gamma,13/02/2016,12/03/2016,1.54799288972906,1.37372155710338,1.7309482189596
French Guiana,Gamma,20/02/2016,19/03/2016,1.58376672200687,1.39466411158664,1.78966994178563
French Guiana,Gamma,27/02/2016,26/03/2016,1.54277257054319,1.35762527044894,1.7485913154905
French Guiana,Gamma,05/03/2016,02/04/2016,1.45030801619239,1.28350607936173,1.64190580076733
French Guiana,Gamma,12/03/2016,09/04/2016,1.29309220629579,1.16377511887512,1.44648424989286
