City,Searches,Rain,Temp,Cases
Mexico-State_Of_Mexico,3,31.7,14.7,0
Mexico-State_Of_Mexico,4,31.7,14.7,0
Mexico-State_Of_Mexico,6,0.1,11.7,0
Mexico-State_Of_Mexico,7,169.8,15.9,0
Mexico-State_Of_Mexico,2,86.6,17.8,0
Mexico-State_Of_Mexico,7,76.7,17.8,0
Mexico-State_Of_Mexico,13,18.5,16.6,0
Mexico-State_Of_Mexico,2,53,14.6,0
Mexico-State_Of_Mexico,6,17,14.2,0
Mexico-State_Of_Mexico,19,18.5,16.6,0
Mexico-State_Of_Mexico,4,169.8,15.9,0
Mexico-State_Of_Mexico,1,14.2,11.6,0
Mexico-State_Of_Mexico,3,3.3,12.7,0
Mexico-State_Of_Mexico,4,17.5,14.5,0
Mexico-State_Of_Mexico,18,5.8,12.5,0
Mexico-State_Of_Mexico,3,53,14.6,0
Mexico-State_Of_Mexico,0,10.2,13.2,0
Mexico-State_Of_Mexico,2,171.2,15.8,0
Mexico-State_Of_Mexico,2,186.3,15.7,0
Mexico-State_Of_Mexico,3,3.5,13.7,0
Mexico-State_Of_Mexico,3,31.7,14.7,0
Mexico-State_Of_Mexico,3,171.2,15.8,0
Mexico-State_Of_Mexico,26,18.5,16.6,0
Mexico-State_Of_Mexico,8,169.8,15.9,0
Mexico-State_Of_Mexico,0,1.1,12.8,0
Mexico-State_Of_Mexico,4,0.1,11.7,0
Mexico-State_Of_Mexico,18,17,14.2,0
Mexico-State_Of_Mexico,17,3.5,13.7,0
Mexico-State_Of_Mexico,34,37.4,14.3,0
Mexico-State_Of_Mexico,4,186.3,15.7,0
Mexico-State_Of_Mexico,10,140.4,15.7,0
Mexico-State_Of_Mexico,6,200.3,16.1,0
Mexico-State_Of_Mexico,13,174.5,15.8,6
Mexico-State_Of_Mexico,0,186.3,15.7,0
Mexico-State_Of_Mexico,6,140.4,15.7,0
Mexico-State_Of_Mexico,8,1.1,12.8,0
Mexico-State_Of_Mexico,27,18.5,16.6,0
Mexico-State_Of_Mexico,1,174.5,15.8,0
Mexico-State_Of_Mexico,6,171.2,15.8,0
Mexico-State_Of_Mexico,3,14.3,15.7,0
Mexico-State_Of_Mexico,10,76.7,17.8,0
Mexico-State_Of_Mexico,2,14.2,11.6,0
Mexico-State_Of_Mexico,8,119.7,17.3,0
Mexico-State_Of_Mexico,10,86.6,17.8,0
Mexico-State_Of_Mexico,5,174.5,15.8,0
Mexico-State_Of_Mexico,49,14.2,11.6,0
Mexico-State_Of_Mexico,3,140.4,15.7,0
Mexico-State_Of_Mexico,0,174.5,15.8,0
Mexico-State_Of_Mexico,26,14.2,11.6,0
Mexico-State_Of_Mexico,0,209.5,16.5,0
Mexico-State_Of_Mexico,4,45.3,12.8,0
Mexico-State_Of_Mexico,13,200.3,16.1,0
Mexico-State_Of_Mexico,1,3.3,12.7,8
Mexico-State_Of_Mexico,7,45.3,12.8,0
Mexico-State_Of_Mexico,10,119.7,17.3,0
Mexico-State_Of_Mexico,5,86.6,17.8,0
Mexico-State_Of_Mexico,11,18.5,16.6,0
Mexico-State_Of_Mexico,5,169.8,15.9,0
Mexico-State_Of_Mexico,5,174.5,15.8,5
Mexico-State_Of_Mexico,4,0.1,11.7,0
Mexico-State_Of_Mexico,6,3.5,13.7,0
Mexico-State_Of_Mexico,4,31.7,14.7,0
Mexico-State_Of_Mexico,4,3.5,13.7,0
Mexico-State_Of_Mexico,26,14.3,15.7,0
Mexico-State_Of_Mexico,29,37.4,14.3,0
Mexico-State_Of_Mexico,28,0.1,11.7,0
Mexico-State_Of_Mexico,7,140.4,15.7,0
Mexico-State_Of_Mexico,22,5.8,12.5,0
Mexico-State_Of_Mexico,7,76.7,17.8,0
Mexico-State_Of_Mexico,7,53,14.6,0
Mexico-State_Of_Mexico,3,53,14.6,0
Mexico-State_Of_Mexico,8,17,14.2,0
Mexico-State_Of_Mexico,9,45.3,12.8,0
Mexico-State_Of_Mexico,4,186.3,15.7,0
Mexico-State_Of_Mexico,28,5.8,12.5,0
Mexico-State_Of_Mexico,2,119.7,17.3,0
Mexico-State_Of_Mexico,28,5.8,12.5,0
Mexico-State_Of_Mexico,6,209.5,16.5,0
Mexico-State_Of_Mexico,11,186.3,15.7,0
Mexico-State_Of_Mexico,33,14.2,11.6,0
Mexico-Baja_California_Sur,0,7.1,18.1,0
Mexico-Baja_California_Sur,0,18.4,19.3,0
Mexico-Baja_California_Sur,0,18.4,19.3,0
Mexico-Baja_California_Sur,0,1.9,26.6,0
Mexico-Baja_California_Sur,10,23.6,30.1,0
Mexico-Baja_California_Sur,100,0.1,23.1,0
Mexico-Baja_California_Sur,0,0.2,24.3,3
Mexico-Baja_California_Sur,27,68.3,30.8,0
Mexico-Baja_California_Sur,0,7.1,18.1,0
Mexico-Baja_California_Sur,8,2.6,27.9,0
Mexico-Baja_California_Sur,18,3.1,23.6,0
Mexico-Baja_California_Sur,16,23.6,30.1,0
